na_handling_setting_name,min_similarity_threshold,algorithm_name,run_id,cluster
dropna,0.9,dominant,23,16
dropna,0.9,dominant,24,12
dropna,0.9,dominant,25,12
dropna,0.9,dominant,26,13
dropna,0.9,dominant,27,14
dropna,0.9,dominant,28,13
dropna,0.9,dominant,29,13
dropna,0.9,mis,0,13
dropna,0.9,mis,1,14
dropna,0.9,mis,2,13
dropna,0.9,mis,3,14
dropna,0.9,mis,4,13
dropna,0.9,mis,5,15
dropna,0.9,mis,6,12
dropna,0.9,mis,7,13
dropna,0.9,mis,8,16
dropna,0.9,mis,9,15
dropna,0.9,mis,10,13
dropna,0.9,mis,11,15
dropna,0.9,mis,12,14
dropna,0.9,mis,13,13
dropna,0.9,mis,14,15
dropna,0.9,mis,15,11
dropna,0.9,mis,16,13
dropna,0.9,mis,17,14
dropna,0.9,mis,18,11
dropna,0.9,mis,19,13
dropna,0.9,mis,20,14
dropna,0.9,mis,21,16
dropna,0.9,mis,22,13
dropna,0.9,mis,23,12
dropna,0.9,mis,24,16
dropna,0.9,mis,25,13
dropna,0.9,mis,26,14
dropna,0.9,mis,27,13
dropna,0.9,mis,28,12
dropna,0.9,mis,29,12
dropna,0.95,dominant,0,15
dropna,0.95,dominant,1,15
dropna,0.95,dominant,2,14
dropna,0.95,dominant,3,16
dropna,0.95,dominant,4,14
dropna,0.95,dominant,5,16
dropna,0.95,dominant,6,16
dropna,0.95,dominant,7,17
dropna,0.95,dominant,8,15
dropna,0.95,dominant,9,15
dropna,0.95,dominant,10,16
dropna,0.95,dominant,11,14
dropna,0.95,dominant,12,17
dropna,0.95,dominant,13,15
dropna,0.95,dominant,14,14
dropna,0.95,dominant,15,17
dropna,0.95,dominant,16,16
dropna,0.95,dominant,17,12
dropna,0.95,dominant,18,15
dropna,0.95,dominant,19,17
dropna,0.95,dominant,20,16
dropna,0.95,dominant,21,15
dropna,0.95,dominant,22,17
dropna,0.95,dominant,23,18
dropna,0.95,dominant,24,13
dropna,0.95,dominant,25,16
dropna,0.95,dominant,26,15
dropna,0.95,dominant,27,15
dropna,0.95,dominant,28,16
dropna,0.95,dominant,29,17
dropna,0.95,mis,0,16
dropna,0.95,mis,1,14
